Climatelab code,Lat,Long,Start,End,Equipment,Type,Shelter
001004: Kunmunya,-15.4167,124.7167,Mar 1915,Dec 1948
NO METADATA AVAILABLE

001005: Wyndham Port,-15.4644,128.1000,Jan 1898,Oct 1967
NO METADATA AVAILABLE

001006: Wyndham Aero,-15.5100,128.1503,Sep 2000,May 2019
6740-0-PX-0,-15.4994,128.1492,22 Sep 2000,07 Aug 2001,Probe,Rosemount (0550),
6740-1-PX-0,-15.5097,128.1503,07 Aug 2001,04 Sep 2002,Probe,Rosemount (0550),
6740-2-PX-0,-15.51,128.1503,04 Sep 2002,22 Nov 2003,Probe,Rosemount (0550),
6740-2-PX-1,-15.51,128.1503,22 Nov 2003,Still active*,Probe,Rosemount (0526),

001007: Troughton Island,-13.7542,126.1485,Jan 1957,May 2019
6740-3-PX-0,-13.7542,126.1485,10 Oct 1996,17 Apr 2004,Probe,Rosemount (0154),
6740-3-PX-1,-13.7542,126.1485,17 Apr 2004,Still active*,Probe,Rosemount (0469),

001009: Kuri Bay,-15.4875,124.5222,Jan 1965,Jan 2012
6733-0-AX-0,-15.4889,124.5208,17 Aug 1961,01 Jun 1964,AiG (Min),Dobbie (4320),
6733-0-AX-1,-15.4889,124.5208,01 Jun 1964,28 Aug 1983,AiG (Min),Dobbie (Unknown),
6733-0-AX-2,-15.4889,124.5208,14 May 1987,15 Feb 1988,AiG (Min),Dobbie (Unknown),
6733-0-AX-3,-15.4889,124.5208,15 Feb 1988,08 Jan 1990,AiG (Min),Dobbie (CBM1501),
6733-0-AX-4,-15.4889,124.5208,08 Jan 1990,31 Dec 1997,AiG (Min),Dobbie (CBM5303),
6733-0-AX-5,-15.4889,124.5208,31 Dec 1997,18 Jul 2003,AiG (Min),Dobbie (12790),
6733-1-AX-0,-15.4875,124.5222,18 Jul 2003,11 Aug 2007,AiG (Min),Dobbie (12790),
6733-1-AX-1,-15.4875,124.5222,11 Aug 2007,01 Mar 2011,AiG (Min),Dobbie (20541),
6733-1-AX-2,-15.4875,124.5222,05 Jul 2011,01 Sep 2012,AiG (Min),Dobbie (20541),
6733-1-AX-3,-15.4875,124.5222,05 Jul 2011,01 Sep 2012,AiG (Min),Dobbie (M7018),

6733-0-MX-0,-15.4889,124.5208,17 Aug 1961,28 Nov 1963,MiG (Max),Dobbie (5313),
6733-0-MX-1,-15.4889,124.5208,28 Nov 1963,01 Apr 1966,MiG (Max),Dobbie (5476),
6733-0-MX-2,-15.4889,124.5208,01 Apr 1966,28 Apr 1976,MiG (Max),Dobbie (Unknown),
6733-0-MX-3,-15.4889,124.5208,28 Apr 1976,25 Jan 1979,MiG (Max),Dobbie (Unknown),
6733-0-MX-4,-15.4889,124.5208,25 Jan 1979,28 Aug 1983,MiG (Max),Dobbie (Unknown),
6733-0-MX-5,-15.4889,124.5208,14 May 1987,23 Aug 1995,MiG (Max),Dobbie (Unknown),
6733-0-MX-6,-15.4889,124.5208,23 Aug 1995,25 Jun 1997,MiG (Max),Dobbie (CBM4916),
6733-0-MX-7,-15.4889,124.5208,25 Jun 1997,18 Jul 2000,MiG (Max),Dobbie (128123),
6733-0-MX-8,-15.4889,124.5208,18 Jul 2000,18 Jul 2003,MiG (Max),Dobbie (14827),
6733-1-MX-0,-15.4875,124.5222,18 Jul 2003,15 Aug 2007,MiG (Max),Dobbie (14827),
6733-1-MX-1,-15.4875,124.5222,15 Aug 2007,01 Mar 2011,MiG (Max),Dobbie (19344),
6733-1-MX-2,-15.4875,124.5222,05 Jul 2011,01 Sep 2012,MiG (Max),Dobbie (14827),
6733-1-MX-3,-15.4875,124.5222,05 Jul 2011,01 Sep 2012,MiG (Max),Dobbie (19344),

6733-0-DX-0,-15.4889,124.5208,17 Aug 1961,28 Apr 1975,DB: MiG,Dobbie (290892),
6733-0-DX-1,-15.4889,124.5208,28 Apr 1975,20 Jul 1983,DB: MiG,Dobbie (Unknown),
6733-0-DX-2,-15.4889,124.5208,20 Jul 1983,28 Aug 1983,DB: MiG,Dobbie (Unknown),
6733-0-DX-3,-15.4889,124.5208,14 May 1987,18 Jul 2003,DB: MiG,Dobbie (CBM5289),
6733-1-DX-0,-15.4875,124.5222,18 Jul 2003,01 Mar 2011,DB: MiG,Dobbie (CBM5289),
6733-1-DX-1,-15.4875,124.5222,05 Jul 2011,01 Sep 2012,DB: MiG,Dobbie (CBM5289),

001012: Mitchell Plateau,-14.7925,125.8258,Jul 1970,Oct 1986
6733-2-AX-0,-14.8167,125.8331,01 Jan 1968,03 Oct 1986,AiG (Min),Unknown (Unknown),

6733-2-MX-0,-14.8167,125.8331,01 Jan 1968,03 Oct 1986,MiG (Max),Unknown (Unknown),

6733-2-DX-0,-14.8167,125.8331,01 Jan 1968,03 Oct 1986,DB: MiG,Unknown (Unknown),

001013: Wyndham,-15.4869,128.1236,Apr 1968,Jan 2015
6740-4-AX-0,-15.4872,128.1219,01 Apr 1968,21 Jul 1999,AiG (Min),Dobbie (CBM5130),
6740-5-AX-0,-15.4872,128.1247,21 Jul 1999,26 Jul 2002,AiG (Min),Dobbie (CBM5130),
6740-5-AX-1,-15.4872,128.1247,26 Jul 2002,31 Jul 2003,AiG (Min),Dobbie (19215),
6740-5-AX-2,-15.4872,128.1247,31 Jul 2003,11 Jan 2015,AiG (Min),Dobbie (CBM5130),

6740-4-MX-0,-15.4872,128.1219,01 Apr 1968,21 Jul 1999,MiG (Max),Dobbie (M2412),
6740-5-MX-0,-15.4872,128.1247,21 Jul 1999,21 Aug 2001,MiG (Max),Dobbie (M2412),
6740-5-MX-1,-15.4872,128.1247,21 Aug 2001,06 Feb 2009,MiG (Max),Dobbie (20590),
6740-5-MX-2,-15.4872,128.1247,06 Feb 2009,11 Jan 2015,MiG (Max),WIKA (27704),

6740-4-DX-0,-15.4872,128.1219,01 Apr 1968,21 Jul 1999,DB: MiG,Dobbie (CBM977),
6740-5-DX-0,-15.4872,128.1247,21 Jul 1999,11 Jan 2015,DB: MiG,Dobbie (CBM977),

001018: Mount Elizabeth,-16.4181,126.1025,Nov 1993,Aug 2018
6728-0-AX-0,-16.4181,126.1031,30 Oct 1993,29 Jul 1995,AiG (Min),Dobbie (M3588),
6728-0-AX-1,-16.4181,126.1031,29 Jul 1995,25 Jul 2000,AiG (Min),Dobbie (M2576),
6728-0-AX-2,-16.4181,126.1031,25 Jul 2000,13 Aug 2001,AiG (Min),Dobbie (15597),
6728-1-AX-0,-16.4181,126.1025,13 Aug 2001,20 Jan 2011,AiG (Min),Dobbie (15597),
6728-1-AX-1,-16.4181,126.1025,20 Jan 2011,24 Jul 2014,AiG (Min),WIKA (31293),
6728-1-AX-2,-16.4181,126.1025,24 Jul 2014,Still active*,AiG (Min),Unknown (CBM4706),

6728-0-MX-0,-16.4181,126.1031,30 Oct 1993,13 Aug 2001,MiG (Max),Dobbie (M0447),
